932,0,0,
4,4,4489,4489
3,2,512,5Q
3,3,101011,TTJ
2,2,121,QA
2,2,913,9K
2,3,729,729
2,3,31213,3QK
2,3,131210,KQT
2,4,109811,T98J
2,5,8641210,864QT
1,1,10,T
1,1,12,Q
1,2,413,4K
1,2,611,6J
1,2,810,8T
1,2,1210,QT
1,2,1310,KT
1,2,1312,KQ
1,2,1313,KK
1,3,254,254
1,3,343,343
1,3,626,626
1,3,847,847
1,3,869,869
1,3,923,923
1,3,933,933
1,3,1048,T48
1,3,1133,J33
1,3,1157,J57
1,3,1179,J79
1,3,6912,69Q
1,3,8125,8Q5
1,3,8910,89T
1,3,9713,97K
1,3,10611,T6J
1,3,11125,JQ5
1,3,81110,8JT
1,4,8491,849A
1,4,11663,J663
1,4,11881,J88A
1,4,12683,Q683
1,4,68125,68Q5
1,4,94610,946T
1,4,115712,J57Q
1,4,1191310,J9KT
1,4,6111310,6JKT
1,4,8131210,8KQT
1,4,9101210,9TQT
1,4,9111211,9JQJ
1,5,987611,9876J
1,6,446464,446464
1,6,86412110,864QAT
1,6,812106410,8QT64T
1,7,81210134710,8QTK47T
